year,category,subcategory,metric,value,unit,location,source
2015,Gender,Overall | India - West,Female representation %,22.17,%,India - West,HRIS extract
2015,Gender,Overall | India - West,Male representation %,76.52,%,India - West,HRIS extract
2015,Gender,Overall | India - West,Other/Undisclosed %,1.31,%,India - West,HRIS extract
2015,Gender,Overall | India - West,Headcount,4146,count,India - West,HRIS extract
2015,Gender,Overall | India - West,Pay ratio (Female:Male),1.009,ratio,India - West,Compensation review
2015,Gender,Overall | India - North,Female representation %,27.64,%,India - North,HRIS extract
2015,Gender,Overall | India - North,Male representation %,71.37,%,India - North,HRIS extract
2015,Gender,Overall | India - North,Other/Undisclosed %,0.99,%,India - North,HRIS extract
2015,Gender,Overall | India - North,Headcount,2476,count,India - North,HRIS extract
2015,Gender,Overall | India - North,Pay ratio (Female:Male),0.948,ratio,India - North,Compensation review
2015,Gender,Overall | India - South,Female representation %,20.7,%,India - South,HRIS extract
2015,Gender,Overall | India - South,Male representation %,78.12,%,India - South,HRIS extract
2015,Gender,Overall | India - South,Other/Undisclosed %,1.18,%,India - South,HRIS extract
2015,Gender,Overall | India - South,Headcount,2835,count,India - South,HRIS extract
2015,Gender,Overall | India - South,Pay ratio (Female:Male),0.951,ratio,India - South,Compensation review
2015,Gender,Overall | India - East,Female representation %,26.3,%,India - East,HRIS extract
2015,Gender,Overall | India - East,Male representation %,72.43,%,India - East,HRIS extract
2015,Gender,Overall | India - East,Other/Undisclosed %,1.27,%,India - East,HRIS extract
2015,Gender,Overall | India - East,Headcount,2708,count,India - East,HRIS extract
2015,Gender,Overall | India - East,Pay ratio (Female:Male),0.947,ratio,India - East,Compensation review
2015,Gender,Overall | India - Central,Female representation %,21.87,%,India - Central,HRIS extract
2015,Gender,Overall | India - Central,Male representation %,77.63,%,India - Central,HRIS extract
2015,Gender,Overall | India - Central,Other/Undisclosed %,0.49,%,India - Central,HRIS extract
2015,Gender,Overall | India - Central,Headcount,1476,count,India - Central,HRIS extract
2015,Gender,Overall | India - Central,Pay ratio (Female:Male),0.992,ratio,India - Central,Compensation review
2015,Gender,Overall | India - North-East,Female representation %,29.83,%,India - North-East,HRIS extract
2015,Gender,Overall | India - North-East,Male representation %,69.7,%,India - North-East,HRIS extract
2015,Gender,Overall | India - North-East,Other/Undisclosed %,0.46,%,India - North-East,HRIS extract
2015,Gender,Overall | India - North-East,Headcount,3535,count,India - North-East,HRIS extract
2015,Gender,Overall | India - North-East,Pay ratio (Female:Male),0.925,ratio,India - North-East,Compensation review
2015,Gender,Overall | Asia ex-India - SE Asia,Female representation %,27.83,%,Asia ex-India - SE Asia,HRIS extract
2015,Gender,Overall | Asia ex-India - SE Asia,Male representation %,71.73,%,Asia ex-India - SE Asia,HRIS extract
2015,Gender,Overall | Asia ex-India - SE Asia,Other/Undisclosed %,0.44,%,Asia ex-India - SE Asia,HRIS extract
2015,Gender,Overall | Asia ex-India - SE Asia,Headcount,446,count,Asia ex-India - SE Asia,HRIS extract
2015,Gender,Overall | Asia ex-India - SE Asia,Pay ratio (Female:Male),0.864,ratio,Asia ex-India - SE Asia,Compensation review
