year,quarter,revenue_inr_crores,ebitda_inr_crores,ebitda_margin_pct,pat_inr_crores,roa_pct,roe_pct,debt_equity_ratio,cost_of_capital_pct,pe_ratio,carbon_tax_exposure_lakhs,energy_cost_inr_crores,employee_turnover_pct,brand_value_index,talent_retention_score,esg_linked_capex_inr_crores
2015,Q1,369.39,76.1,20.6,41.87,7.08,13.46,0.833,11.14,21.2,37.2,11.88,17.4,64.4,73.1,13.32
2015,Q2,366.0,61.97,16.93,41.48,6.35,15.15,0.757,10.51,18.6,34.5,10.7,17.14,68.5,79.8,12.09
2015,Q3,391.15,85.87,21.95,52.66,8.04,13.56,0.554,10.99,21.2,40.0,13.52,17.24,65.6,76.0,17.65
2015,Q4,406.39,92.71,22.81,55.07,5.49,13.68,0.594,10.88,17.7,39.5,13.14,15.27,69.8,74.7,17.39
2016,Q1,413.86,76.41,18.46,46.26,7.55,13.55,0.522,10.91,22.2,41.7,13.64,14.9,66.6,79.8,22.66
2016,Q2,383.34,74.66,19.48,50.46,7.66,13.01,0.733,10.7,17.8,39.4,12.26,13.79,66.1,76.5,13.41
2016,Q3,425.83,92.3,21.68,51.03,7.71,13.84,0.656,10.67,18.7,32.5,13.92,15.94,63.7,74.7,15.08
2016,Q4,437.33,91.94,21.02,59.35,6.46,10.39,0.759,10.69,18.3,30.4,14.91,15.12,69.2,76.6,23.81
2017,Q1,429.71,98.13,22.84,65.39,5.74,14.91,0.546,10.81,15.1,30.7,13.98,15.81,68.2,80.3,17.93
2017,Q2,397.77,89.35,22.46,55.0,5.66,15.45,0.539,10.7,14.9,30.8,12.73,15.05,70.6,75.0,13.3
2017,Q3,455.82,95.06,20.85,63.45,8.66,15.15,0.754,10.37,17.2,40.4,13.0,17.35,69.4,77.9,19.36
2017,Q4,451.98,96.18,21.28,59.39,7.87,15.52,0.77,10.99,19.7,32.3,11.92,17.94,69.2,75.7,21.86
2018,Q1,460.89,90.69,19.68,56.1,7.03,12.93,0.537,11.1,17.0,35.4,15.4,16.49,69.2,75.9,22.62
2018,Q2,425.32,88.06,20.7,54.05,6.02,11.7,0.595,10.83,20.4,32.0,10.93,14.29,71.0,78.1,17.21
2018,Q3,471.3,96.87,20.55,65.37,8.28,14.97,0.612,10.55,22.9,40.6,15.25,15.44,69.4,81.4,21.86
2018,Q4,477.2,99.22,20.79,62.59,7.83,15.09,0.504,10.91,22.8,40.0,16.59,14.96,70.1,77.7,32.18
2019,Q1,487.55,114.13,23.41,70.74,9.15,16.07,0.501,9.98,28.1,36.7,13.5,12.65,69.5,80.6,35.25
2019,Q2,444.87,89.93,20.21,59.9,6.8,15.49,0.567,9.78,21.4,31.1,14.74,14.02,70.2,78.7,23.62
