year,quarter,emission_medium,pollutant_type,quantity_kg,location,regulatory_limit_kg,monitoring_method,discharge_point,exceedance_flag,facility_type,unit,permit_id,regulator,lab_accreditation,test_report_id
2017,Q1,Air,NOx,263.29,Hazira Refinery,12600.0,CEMS — Continuous,HAZ-A-8057,No,Refinery,kg,PCB-HAZI-36835,GPCB (Gujarat),MoEF Recognised,TR-2017Q1-243960
2017,Q1,Air,SOx,303.1,Hazira Refinery,15400.0,CEMS — Continuous,HAZ-A-6231,No,Refinery,kg,PCB-HAZI-36835,MPCB (Maharashtra),NABL + ISO 17025,TR-2017Q1-857227
2017,Q1,Air,PM10,45.34,Hazira Refinery,2520.0,Manual stack sampling,HAZ-A-7718,No,Refinery,kg,PCB-HAZI-36835,KSPCB (Karnataka),ISO 17025,TR-2017Q1-666904
2017,Q1,Air,PM2.5,29.89,Hazira Refinery,1540.0,CEMS — Continuous,HAZ-A-2060,No,Refinery,kg,PCB-HAZI-36835,GPCB (Gujarat),NABL + ISO 17025,TR-2017Q1-584789
2017,Q1,Air,VOC,119.64,Hazira Refinery,4480.0,CEMS — Continuous,HAZ-A-8899,No,Refinery,kg,PCB-HAZI-36835,TNPCB (Tamil Nadu),ISO 17025,TR-2017Q1-629199
2017,Q1,Air,CO,50.66,Hazira Refinery,1960.0,CEMS — Continuous,HAZ-A-8216,No,Refinery,kg,PCB-HAZI-36835,APPCB (Andhra Pradesh),NABL + ISO 17025,TR-2017Q1-552823
2017,Q1,Air,NH3,20.06,Hazira Refinery,868.0,CEMS — Continuous,HAZ-A-1770,No,Refinery,kg,PCB-HAZI-36835,OSPCB (Odisha),External — DNV,TR-2017Q1-146049
2017,Q1,Water,BOD,99.08,Hazira Refinery,3500.0,Manual grab sampling,HAZ-W-1150,No,Refinery,kg,PCB-HAZI-79793,OSPCB (Odisha),NABL,TR-2017Q1-957689
2017,Q1,Water,COD,234.26,Hazira Refinery,9800.0,Manual grab sampling,HAZ-W-2277,No,Refinery,kg,PCB-HAZI-79793,TNPCB (Tamil Nadu),ISO 17025,TR-2017Q1-179462
2017,Q1,Water,TSS,195.45,Hazira Refinery,6300.0,Auto-sampler 24h composite,HAZ-W-2983,No,Refinery,kg,PCB-HAZI-79793,APPCB (Andhra Pradesh),External — DNV,TR-2017Q1-117789
