year,quarter,waste_type,category,quantity_mt,disposal_method,recycled_pct,location,facility_type,contractor,manifest_id,cost_inr_lakhs
2018,Q1,Non-Hazardous,Paper,10.903,Recycling,96.9,Mumbai HQ,Office,Saahas Zero Waste,WM-2018Q1-529631,16.89
2018,Q1,Non-Hazardous,Plastic (Recyclable),14.89,Recycling,79.8,Mumbai HQ,Office,Ramky Enviro,WM-2018Q1-796694,12.41
2018,Q1,Non-Hazardous,Plastic (Mixed),11.051,Co-processing,40.5,Mumbai HQ,Office,Ramky Enviro,WM-2018Q1-540402,11.61
2018,Q1,Non-Hazardous,Wood Pallets,6.2,Recycling,78.1,Mumbai HQ,Office,Ramky Enviro,WM-2018Q1-239009,2.5
2018,Q1,Non-Hazardous,Glass,4.34,Recycling,88.8,Mumbai HQ,Office,Eco Recycling Ltd,WM-2018Q1-848059,4.06
2018,Q1,Non-Hazardous,Metal Scrap,20.366,Recycling,99.5,Mumbai HQ,Office,Re Sustainability,WM-2018Q1-154569,23.25
2018,Q1,Non-Hazardous,Construction Debris,15.738,Landfill,57.0,Mumbai HQ,Office,Saahas Zero Waste,WM-2018Q1-001863,20.17
2018,Q1,Non-Hazardous,Food Waste,5.067,Composting,68.5,Mumbai HQ,Office,Tata Steel Recycling,WM-2018Q1-638198,5.5
2018,Q1,Hazardous,Spent Catalyst,12.043,Authorised TSDF,63.4,Mumbai HQ,Office,Antony Lara Enviro,WM-2018Q1-177022,15.66
2018,Q1,Hazardous,Used Oil,17.504,Re-refining,91.5,Mumbai HQ,Office,Antony Lara Enviro,WM-2018Q1-212785,27.15
2018,Q1,Hazardous,Sludge (Process),20.657,Co-processing,29.6,Mumbai HQ,Office,Antony Lara Enviro,WM-2018Q1-148451,9.74
2018,Q1,Hazardous,Chemical Containers,7.403,Authorised TSDF,69.0,Mumbai HQ,Office,ALMA Recyclers,WM-2018Q1-384663,6.5
2018,Q1,Hazardous,E-Waste,5.355,Authorised Recycler,91.5,Mumbai HQ,Office,Saahas Zero Waste,WM-2018Q1-077392,3.22
2018,Q1,Hazardous,Lab Solvents,3.865,Incineration,70.8,Mumbai HQ,Office,Eco Recycling Ltd,WM-2018Q1-958690,2.32
2018,Q1,Non-Hazardous,Paper,160.461,Recycling,87.5,Hazira Refinery,Refinery,Eco Recycling Ltd,WM-2018Q1-417473,70.87
2018,Q1,Non-Hazardous,Plastic (Recyclable),215.302,Recycling,87.0,Hazira Refinery,Refinery,Eco Recycling Ltd,WM-2018Q1-178814,189.65
2018,Q1,Non-Hazardous,Plastic (Mixed),107.846,Co-processing,39.0,Hazira Refinery,Refinery,Re Sustainability,WM-2018Q1-406702,25.7
2018,Q1,Non-Hazardous,Wood Pallets,75.175,Recycling,74.0,Hazira Refinery,Refinery,Ramky Enviro,WM-2018Q1-857569,85.67
2018,Q1,Non-Hazardous,Glass,43.341,Recycling,98.5,Hazira Refinery,Refinery,Ramky Enviro,WM-2018Q1-099045,22.32
2018,Q1,Non-Hazardous,Metal Scrap,174.873,Recycling,99.5,Hazira Refinery,Refinery,ALMA Recyclers,WM-2018Q1-398960,229.82
2018,Q1,Non-Hazardous,Construction Debris,140.031,Landfill,54.7,Hazira Refinery,Refinery,Eco Recycling Ltd,WM-2018Q1-945241,145.28
2018,Q1,Non-Hazardous,Food Waste,72.247,Composting,68.8,Hazira Refinery,Refinery,Re Sustainability,WM-2018Q1-308906,74.36
2018,Q1,Hazardous,Spent Catalyst,100.937,Authorised TSDF,64.5,Hazira Refinery,Refinery,Saahas Zero Waste,WM-2018Q1-152531,104.21
2018,Q1,Hazardous,Used Oil,179.275,Re-refining,82.5,Hazira Refinery,Refinery,Saahas Zero Waste,WM-2018Q1-883793,54.31
2018,Q1,Hazardous,Sludge (Process),198.9,Co-processing,29.9,Hazira Refinery,Refinery,ALMA Recyclers,WM-2018Q1-976531,117.08
2018,Q1,Hazardous,Chemical Containers,73.337,Authorised TSDF,69.1,Hazira Refinery,Refinery,ALMA Recyclers,WM-2018Q1-711915,108.67
2018,Q1,Hazardous,E-Waste,70.69,Authorised Recycler,92.7,Hazira Refinery,Refinery,Antony Lara Enviro,WM-2018Q1-869712,68.31
2018,Q1,Hazardous,Lab Solvents,41.086,Incineration,70.4,Hazira Refinery,Refinery,Re Sustainability,WM-2018Q1-988413,16.33
2018,Q1,Non-Hazardous,Paper,100.775,Recycling,88.9,Jamnagar Polymer Plant,Petchem,Ramky Enviro,WM-2018Q1-243433,139.1
2018,Q1,Non-Hazardous,Plastic (Recyclable),174.783,Recycling,88.9,Jamnagar Polymer Plant,Petchem,Tata Steel Recycling,WM-2018Q1-502328,112.41
2018,Q1,Non-Hazardous,Plastic (Mixed),96.625,Co-processing,39.5,Jamnagar Polymer Plant,Petchem,ALMA Recyclers,WM-2018Q1-232662,120.73
2018,Q1,Non-Hazardous,Wood Pallets,75.819,Recycling,78.8,Jamnagar Polymer Plant,Petchem,Hulladek Recycling,WM-2018Q1-683529,52.33
2018,Q1,Non-Hazardous,Glass,36.032,Recycling,96.9,Jamnagar Polymer Plant,Petchem,Antony Lara Enviro,WM-2018Q1-925004,18.4
2018,Q1,Non-Hazardous,Metal Scrap,181.38,Recycling,90.9,Jamnagar Polymer Plant,Petchem,Ramky Enviro,WM-2018Q1-426999,130.8
2018,Q1,Non-Hazardous,Construction Debris,116.792,Landfill,51.5,Jamnagar Polymer Plant,Petchem,Eco Recycling Ltd,WM-2018Q1-579705,34.48
2018,Q1,Non-Hazardous,Food Waste,59.184,Composting,66.2,Jamnagar Polymer Plant,Petchem,ALMA Recyclers,WM-2018Q1-134866,73.76
2018,Q1,Hazardous,Spent Catalyst,112.232,Authorised TSDF,66.0,Jamnagar Polymer Plant,Petchem,Antony Lara Enviro,WM-2018Q1-476045,128.9
2018,Q1,Hazardous,Used Oil,125.876,Re-refining,87.6,Jamnagar Polymer Plant,Petchem,Saahas Zero Waste,WM-2018Q1-631216,78.85
2018,Q1,Hazardous,Sludge (Process),177.855,Co-processing,31.0,Jamnagar Polymer Plant,Petchem,Re Sustainability,WM-2018Q1-342068,264.07
2018,Q1,Hazardous,Chemical Containers,80.871,Authorised TSDF,64.2,Jamnagar Polymer Plant,Petchem,Eco Recycling Ltd,WM-2018Q1-537875,121.69
2018,Q1,Hazardous,E-Waste,59.313,Authorised Recycler,86.3,Jamnagar Polymer Plant,Petchem,ALMA Recyclers,WM-2018Q1-695672,22.11
2018,Q1,Hazardous,Lab Solvents,35.053,Incineration,72.5,Jamnagar Polymer Plant,Petchem,Eco Recycling Ltd,WM-2018Q1-814373,17.76
2018,Q1,Non-Hazardous,Paper,69.978,Recycling,87.6,Vadodara Chemicals,Petchem,Tata Steel Recycling,WM-2018Q1-082918,19.69
2018,Q1,Non-Hazardous,Plastic (Recyclable),108.731,Recycling,83.5,Vadodara Chemicals,Petchem,Tata Steel Recycling,WM-2018Q1-243408,143.79
2018,Q1,Non-Hazardous,Plastic (Mixed),53.838,Co-processing,41.5,Vadodara Chemicals,Petchem,Hulladek Recycling,WM-2018Q1-243163,26.23
2018,Q1,Non-Hazardous,Wood Pallets,50.953,Recycling,79.8,Vadodara Chemicals,Petchem,Hulladek Recycling,WM-2018Q1-792295,55.24
