company_no,company,sector,country,listing_status,ticker,fiscal_year_end,currency,size_scale
1,Faro Refining Industries,PetroChemical,India,Listed,FARO.NS,March,INR Crore,1.52
2,Petra Energy Corp Ltd,PetroChemical,India,Unlisted,PETRA.NS,March,INR Crore,2.396
3,Tundra Refining Group,PetroChemical,India,Listed,TUNDR.NS,March,INR Crore,0.474
4,Zephyr Polymers Ltd,PetroChemical,India,Listed,ZEPHY.NS,March,INR Crore,0.642
5,Mistral Chemicals Holdings,PetroChemical,India,Listed,MISTR.NS,March,INR Crore,0.396
6,Ironclad Refining,PetroChemical,India,Listed,IRONC.NS,March,INR Crore,1.018
7,Smelter Polymers Holdings,PetroChemical,India,Listed,SMELT.NS,March,INR Crore,0.977
8,Tellurium Chemicals Holdings,PetroChemical,India,Listed,TELLU.NS,March,INR Crore,0.708
9,Helios Polymers Group,PetroChemical,India,Listed,HELIO.NS,March,INR Crore,0.214
10,Borealis Energy Corp Co,PetroChemical,India,Listed,BOREA.NS,March,INR Crore,0.727
11,Iron Crown Energy Corp,PetroChemical,India,Listed,IRON.NS,March,INR Crore,0.792
12,Nova Petrochemicals Co,PetroChemical,India,Listed,NOVA.NS,March,INR Crore,0.951
13,Quarry Refining Industries,PetroChemical,India,Unlisted,QUARR.NS,March,INR Crore,0.407
14,Drift Petrochemicals,PetroChemical,India,Unlisted,,March,INR Crore,1.218
15,Quartz Petrochemicals Industries,PetroChemical,India,Listed,QUART.NS,March,INR Crore,0.639
16,Tungsten Petrochemicals Corp,PetroChemical,India,Listed,TUNGS.NS,March,INR Crore,1.222
17,Obsidian Chemicals,PetroChemical,India,Unlisted,OBSID.NS,March,INR Crore,0.76
18,Crucible Refining,PetroChemical,India,Listed,CRUCI.NS,March,INR Crore,0.508
19,Onyx Energy Corp,PetroChemical,India,Listed,,March,INR Crore,1.011
20,Pillar Chemicals Ltd,PetroChemical,India,Listed,PILLA.NS,March,INR Crore,0.753
21,Smelter Petrochemicals,PetroChemical,India,Unlisted,SMELT.NS,March,INR Crore,0.34
22,Hyperion Chemicals,PetroChemical,India,Listed,,March,INR Crore,1.129
23,Carbide Refining,PetroChemical,India,Listed,CARBI.NS,March,INR Crore,0.443
24,Meridian Chemicals Ltd,PetroChemical,India,Listed,MERID.NS,March,INR Crore,1.199
25,Borealis Energy Corp Industries,PetroChemical,India,Listed,BOREA.NS,March,INR Crore,0.386
26,Castor Polymers Corp,PetroChemical,India,Listed,CASTO.NS,March,INR Crore,1.327
27,Bastion Grid Holdings Ltd,Power,India,Listed,,March,INR Crore,0.627
28,Cobalt Generation Ltd,Power,India,Unlisted,COBAL.NS,March,INR Crore,0.758
29,Nova Grid Holdings,Power,India,Listed,,March,INR Crore,0.295
30,Solstice Grid Holdings,Power,India,Listed,SOLST.NS,March,INR Crore,1.417
31,Stratus Grid Holdings,Power,India,Listed,STRAT.NS,March,INR Crore,0.758
32,Voltaic Power Systems Co,Power,India,Listed,VOLTA.NS,March,INR Crore,0.363
