company,year,esg_capex,green_assets,scope1_emissions_tco2e,scope2_emissions_tco2e,esg_score,sustainability_projects,sector,rating_provider,rating_year,environmental_sub_score,social_sub_score,governance_sub_score,controversies_count,water_withdrawal_kl,waste_generated_mt,renewable_energy_pct,women_in_leadership_pct,ltifr,assurance_level,assurance_provider
Faro Refining Industries,1989,133.02,197.97,37610.95,18378.13,46.1,5,PetroChemical,Sustainalytics,1989,56.68,50.61,47.07,4,272362.1,30696.1,7.75,17.11,0.678,Limited,DNV
Faro Refining Industries,1990,246.4,483.38,39339.2,21539.37,46.43,12,PetroChemical,Internal,1990,56.18,52.9,40.64,0,407970.6,21419.0,21.96,15.99,0.677,Limited,BSI
Faro Refining Industries,1991,284.33,580.75,44313.13,24384.91,51.45,11,PetroChemical,Internal,1991,54.07,50.1,47.03,4,188750.0,52018.9,25.32,27.49,1.006,Reasonable,ERM
Faro Refining Industries,1992,184.0,494.29,37922.02,22290.57,49.03,3,PetroChemical,MSCI,1992,52.44,56.38,58.54,2,749403.0,52916.3,9.66,20.65,0.482,Limited,KPMG
Faro Refining Industries,1993,132.1,235.29,46766.22,24885.7,54.9,6,PetroChemical,S&P CSA,1993,46.94,48.43,64.21,1,783728.7,53517.6,37.99,13.33,0.761,Limited,TUV Nord
Faro Refining Industries,1994,203.91,424.08,58527.89,29507.48,54.91,9,PetroChemical,Internal,1994,61.58,55.86,56.87,3,910872.0,15278.8,17.1,23.4,0.204,Limited,EY
Faro Refining Industries,1995,421.6,681.71,41365.34,30971.86,56.68,10,PetroChemical,Internal,1995,53.2,59.9,51.63,0,920293.8,57081.5,10.4,18.68,0.539,Limited,DNV
Faro Refining Industries,1996,597.48,869.79,50655.37,29948.52,58.94,7,PetroChemical,S&P CSA,1996,60.23,60.28,56.96,3,1351916.0,36246.1,25.15,27.65,0.615,None,—
Faro Refining Industries,1997,479.14,1508.49,57556.71,26679.79,58.69,6,PetroChemical,S&P CSA,1997,54.82,53.46,57.7,2,386067.2,78228.6,45.54,13.82,1.094,Limited,BSI
Faro Refining Industries,1998,442.78,556.51,48943.17,29701.17,61.56,9,PetroChemical,Sustainalytics,1998,57.68,53.96,66.43,0,447863.3,51467.7,29.95,24.11,0.136,Limited,Deloitte
Faro Refining Industries,1999,192.5,1308.25,68741.23,45501.68,59.91,12,PetroChemical,CDP,1999,65.52,54.96,56.75,1,1036191.1,98010.8,43.26,18.35,0.89,Limited,ERM
Faro Refining Industries,2000,301.01,1575.65,67231.91,37080.8,65.16,11,PetroChemical,Internal,2000,74.91,69.01,66.02,3,834370.4,93066.1,30.12,22.73,0.201,None,—
Faro Refining Industries,2001,596.95,633.18,85374.32,49695.38,63.05,8,PetroChemical,Internal,2001,73.44,57.44,61.09,0,1799719.6,68353.3,35.97,30.57,0.476,Limited,—
