company,year,sector,revenue,net_profit,total_assets,total_liabilities,current_assets,current_liabilities,ppe_net,capex,depreciation,interest_expense,ebitda,operating_cash_flow,net_debt,goodwill,intangibles
Faro Refining Industries,1989,PetroChemical,4130.91,475.96,11521.65,7300.07,2184.6,2652.37,5933.14,562.29,416.55,409.27,1151.16,821.99,2794.65,337.67,451.29
Faro Refining Industries,1990,PetroChemical,4386.93,563.84,12838.58,8998.52,3191.87,2097.75,5310.53,511.56,469.38,317.48,1015.26,848.36,3789.77,45.25,325.01
Faro Refining Industries,1991,PetroChemical,4219.76,329.7,12426.3,7124.65,2808.43,1670.93,5844.39,561.8,439.78,462.55,712.71,479.81,2511.93,260.91,384.01
Faro Refining Industries,1992,PetroChemical,4786.48,322.25,14208.39,9348.07,4428.57,2102.62,5989.54,341.62,478.13,545.54,854.12,723.1,4000.7,602.05,322.4
Faro Refining Industries,1993,PetroChemical,5159.43,427.95,14413.24,9505.76,4172.35,2628.54,6230.47,515.52,414.8,313.07,1063.3,704.17,4820.32,166.94,239.95
Faro Refining Industries,1994,PetroChemical,5562.38,386.31,15554.09,11282.1,3090.38,2638.76,7481.74,454.74,542.95,379.45,1687.66,1189.75,4721.66,20.48,338.85
Faro Refining Industries,1995,PetroChemical,5398.74,179.07,16111.14,9414.91,3509.55,3001.15,6942.04,486.25,611.41,297.9,941.23,798.06,4694.04,473.09,346.84
Faro Refining Industries,1996,PetroChemical,6355.13,534.0,18772.97,11810.13,4001.4,4612.69,11258.03,560.66,934.75,675.01,1214.03,1056.89,4976.22,664.75,620.35
Faro Refining Industries,1997,PetroChemical,6989.77,555.83,19968.49,12366.65,4303.76,4860.48,9748.86,580.26,914.4,452.37,1752.89,1526.65,4962.05,297.13,180.54
Faro Refining Industries,1998,PetroChemical,6421.43,447.61,21763.98,15781.15,5426.67,5664.2,12068.34,894.48,1202.0,507.19,1200.2,1130.45,8125.32,208.54,833.03
Faro Refining Industries,1999,PetroChemical,8078.07,399.32,22662.03,16168.99,6882.39,4504.13,12707.93,651.28,909.0,930.52,1665.35,1350.91,6509.13,881.9,253.18
Faro Refining Industries,2000,PetroChemical,7480.3,644.78,24874.42,16006.1,7020.03,3980.03,14167.03,796.71,1347.11,711.02,2021.56,1381.89,7144.19,47.26,239.35
Faro Refining Industries,2001,PetroChemical,9519.32,782.07,25013.8,18012.33,6298.89,6065.79,14041.56,1123.21,1401.44,846.99,2075.94,1565.43,6299.21,801.71,808.95
Faro Refining Industries,2002,PetroChemical,10207.92,1246.07,26700.75,19938.66,5219.57,4693.63,15204.51,736.59,1166.67,1087.6,1353.9,1025.59,7271.61,1544.5,167.17
Faro Refining Industries,2003,PetroChemical,9367.12,764.68,29166.4,20325.96,5849.56,7365.19,13354.07,1240.55,1084.68,1041.1,1578.02,1065.59,9335.32,339.83,1104.16
Faro Refining Industries,2004,PetroChemical,11397.89,860.85,32238.29,20434.27,6652.09,6679.39,17905.22,684.25,1370.62,684.15,2631.37,2316.7,10648.57,1283.6,415.25
Faro Refining Industries,2005,PetroChemical,10864.88,900.96,33961.14,24633.0,8397.9,6618.14,17112.86,1346.47,1279.67,1174.85,2940.12,2624.53,9011.32,1353.78,1213.18
Faro Refining Industries,2006,PetroChemical,12750.87,757.3,33630.87,22334.62,9763.1,6866.2,16612.76,1143.47,1434.81,1374.58,3132.84,2391.17,10714.75,634.45,845.13
Faro Refining Industries,2007,PetroChemical,14365.02,1496.37,36562.21,21336.0,11051.84,4783.58,16913.72,1862.63,1094.87,1105.38,2877.32,2703.84,9029.97,1551.99,1174.04
Faro Refining Industries,2008,PetroChemical,13521.81,1384.97,41383.03,27747.23,12083.59,9282.03,22988.01,1632.51,1660.55,1297.66,2839.73,2521.59,9716.03,2144.31,1065.7
Faro Refining Industries,2009,PetroChemical,16029.05,1494.45,41808.96,27846.99,11170.7,7108.75,18804.53,1995.39,1268.0,1734.56,2994.85,2387.51,11762.96,1563.27,579.9
Faro Refining Industries,2010,PetroChemical,16157.02,843.56,47707.33,35239.54,14335.28,7839.79,28844.76,1570.48,2085.16,2175.44,3599.21,2657.65,13670.83,369.88,787.48
Faro Refining Industries,2011,PetroChemical,17869.03,1774.54,48498.38,27658.88,12202.15,9901.17,28785.62,1594.79,2549.51,883.37,3137.45,2919.5,8425.02,2242.76,1008.6
Faro Refining Industries,2012,PetroChemical,19551.95,1732.02,52958.09,33476.52,13120.87,11447.87,31457.75,1930.49,2101.81,1218.04,3675.78,3037.21,15331.38,2061.41,1818.45
Faro Refining Industries,2013,PetroChemical,19502.87,1642.64,54008.11,40357.28,14968.51,14053.92,24581.24,1507.04,1486.76,1558.03,5440.86,3603.97,20647.4,548.04,1651.07
Faro Refining Industries,2014,PetroChemical,22214.63,1475.98,62259.88,38670.89,13597.45,11364.23,29837.27,1663.93,2549.34,2185.31,3063.63,2880.81,16666.09,2132.42,1604.38
Faro Refining Industries,2015,PetroChemical,23960.66,1956.87,63713.59,42088.89,19686.69,13913.71,27338.49,2555.6,1788.41,2012.25,4528.03,4020.17,12766.81,921.08,1310.61
Faro Refining Industries,2016,PetroChemical,22592.6,1968.46,68816.44,43410.86,21344.76,13262.38,28548.27,2160.78,2399.1,2651.14,4209.82,3095.86,20163.07,1199.74,903.57
Faro Refining Industries,2017,PetroChemical,26903.01,1694.09,76381.69,46683.06,17396.56,12680.23,30862.87,2229.16,3056.13,2440.72,5437.62,5100.25,23910.68,2413.76,2974.55
Faro Refining Industries,2018,PetroChemical,30056.8,3575.72,77094.4,46098.77,23732.5,11495.35,34050.7,1902.67,2700.87,2770.82,6445.27,5431.57,17631.4,4416.1,2076.39
Faro Refining Industries,2019,PetroChemical,29868.58,3084.69,83881.23,59186.04,23896.27,18693.69,34308.44,3488.91,3191.58,2738.69,7982.83,7195.49,18688.86,3501.67,806.56
Faro Refining Industries,2020,PetroChemical,32592.51,3159.9,87798.16,51969.97,21655.73,13040.14,39530.38,4093.13,2594.65,2285.42,8513.51,5896.83,24350.42,4086.95,1993.18
Faro Refining Industries,2021,PetroChemical,34231.44,2903.37,90237.27,55584.16,23195.42,15911.94,41180.22,2732.09,2907.92,2380.19,10195.95,9350.62,29178.8,4668.42,3092.09
Faro Refining Industries,2022,PetroChemical,38834.54,3464.95,105590.86,60747.45,24897.67,21644.6,56072.73,3805.16,3482.97,3769.18,6352.15,4391.54,23005.02,3834.14,1493.24
Faro Refining Industries,2023,PetroChemical,40978.82,4140.5,108123.54,59538.72,27262.5,23154.27,45473.02,5490.81,3710.53,2522.87,11815.64,7938.4,19228.13,4938.63,1176.96
Faro Refining Industries,2024,PetroChemical,39540.09,3475.24,120904.78,78889.82,31759.81,25972.54,50391.82,3735.64,3053.83,3283.42,8375.55,6421.63,30003.36,2790.83,1794.5
Petra Energy Corp Ltd,1989,PetroChemical,5219.01,619.96,17782.87,10320.98,4915.96,3940.41,9168.74,676.17,811.88,381.58,817.89,597.26,5341.78,754.23,141.77
Petra Energy Corp Ltd,1990,PetroChemical,5930.21,489.32,18463.14,10652.42,5477.77,3702.92,8061.72,733.05,574.81,380.84,1086.82,1026.4,5117.22,320.28,292.56
Petra Energy Corp Ltd,1991,PetroChemical,6487.74,658.23,20405.97,13678.21,5245.37,5302.53,8377.78,516.95,815.67,533.66,1332.32,905.52,4768.35,271.27,779.27
Petra Energy Corp Ltd,1992,PetroChemical,7225.28,488.48,22161.24,15108.58,5431.75,5632.98,11016.89,536.01,802.89,561.25,1796.18,1296.58,5291.06,531.66,770.31
Petra Energy Corp Ltd,1993,PetroChemical,7585.1,830.53,24017.04,17649.45,4830.02,4894.17,10358.4,1027.25,717.1,744.15,1612.67,1064.39,9222.48,205.07,812.69
Petra Energy Corp Ltd,1994,PetroChemical,8140.6,701.81,24140.1,16639.73,4748.81,4433.81,10717.11,947.83,921.02,969.94,1629.2,1224.89,5486.48,54.87,487.3
Petra Energy Corp Ltd,1995,PetroChemical,8944.01,885.11,26917.75,18031.37,7483.19,6767.23,15051.85,731.91,1010.62,612.34,1867.01,1514.43,7558.27,597.15,471.03
Petra Energy Corp Ltd,1996,PetroChemical,9075.92,756.78,28623.95,19849.99,5979.73,4728.31,12213.42,1165.56,1078.02,792.31,2319.39,1630.29,9941.74,664.3,718.62
Petra Energy Corp Ltd,1997,PetroChemical,10027.44,664.88,31623.12,22180.03,6664.72,8723.63,15144.58,853.41,1271.01,1084.49,2003.73,1324.16,7286.6,336.48,1231.85
Petra Energy Corp Ltd,1998,PetroChemical,10917.34,779.72,33955.45,21002.58,7159.39,7679.87,16237.09,1060.8,1438.58,741.87,2645.61,2135.37,11315.1,214.67,298.42
Petra Energy Corp Ltd,1999,PetroChemical,11415.27,517.07,36832.79,20337.01,8617.8,7042.89,18099.98,1455.7,1654.54,1230.44,2445.03,1742.56,7287.78,1232.68,333.89
Petra Energy Corp Ltd,2000,PetroChemical,13113.69,1024.35,36202.23,21250.96,9719.66,6163.64,16504.75,1271.98,1009.0,1138.72,2589.54,2219.56,8725.91,112.58,1236.58
Petra Energy Corp Ltd,2001,PetroChemical,13523.08,1235.81,40770.92,29458.05,12561.02,10616.41,16530.14,1849.97,1522.08,1882.75,3761.07,2448.4,10968.14,254.96,1010.29
Petra Energy Corp Ltd,2002,PetroChemical,14020.44,1235.27,43851.62,33141.09,8367.41,8058.84,19053.17,1944.72,1700.85,1128.64,2696.41,2083.84,15481.97,2327.04,794.32
Petra Energy Corp Ltd,2003,PetroChemical,16279.41,556.56,47124.2,26177.24,9561.73,9743.4,19244.6,2124.83,1826.92,917.09,2516.3,2323.39,12943.6,1594.04,680.91
Petra Energy Corp Ltd,2004,PetroChemical,15774.07,1551.4,51079.79,34087.76,11527.73,11312.31,27517.81,1613.05,1918.45,1759.52,3730.08,3518.9,16210.92,2057.96,256.8
Petra Energy Corp Ltd,2005,PetroChemical,16741.76,1557.03,54629.4,33453.87,12699.15,9786.64,31012.99,1387.89,1921.02,2081.51,3860.55,3464.67,11472.82,2548.2,1541.26
Petra Energy Corp Ltd,2006,PetroChemical,17886.03,509.52,58623.47,40062.95,12837.33,9692.55,30916.92,1847.28,1954.28,1247.9,3523.08,2947.28,21866.48,861.47,2195.84
Petra Energy Corp Ltd,2007,PetroChemical,18567.76,1659.91,61341.28,39903.34,16590.0,10701.68,36680.49,2179.0,2738.97,1443.83,5454.81,4316.78,18521.79,1112.18,1737.7
Petra Energy Corp Ltd,2008,PetroChemical,20442.7,2204.59,64024.67,48009.25,15663.83,12784.81,26241.87,2225.65,1677.78,2115.89,5142.61,3947.69,16203.34,2328.0,1125.37
Petra Energy Corp Ltd,2009,PetroChemical,22323.18,2241.6,69400.38,53661.87,14131.09,20740.84,28717.21,1933.93,1781.86,1913.18,3811.98,3048.55,28086.1,893.37,1349.5
Petra Energy Corp Ltd,2010,PetroChemical,23771.46,1896.8,75840.03,49663.5,15204.18,14867.88,34567.26,2587.07,2933.08,2959.61,5908.25,4997.77,24642.7,1723.53,2780.31
Petra Energy Corp Ltd,2011,PetroChemical,27757.47,2107.24,77752.43,53500.13,20031.22,18145.06,46629.56,1813.72,2927.72,1668.91,8465.61,7525.67,24060.06,685.84,1547.53
Petra Energy Corp Ltd,2012,PetroChemical,27208.25,2498.44,85251.23,47678.39,22327.61,11123.03,34157.23,3573.32,2624.82,1587.29,6777.67,5822.12,21383.03,97.32,2006.11
Petra Energy Corp Ltd,2013,PetroChemical,28673.34,2447.02,90551.38,54607.61,17438.3,20566.6,37900.91,3293.84,2975.93,3033.59,5562.1,4326.05,28010.44,3641.26,1129.93
Petra Energy Corp Ltd,2014,PetroChemical,31212.33,1722.09,99917.56,61598.97,27896.59,17363.32,44290.18,4324.84,4031.74,2363.37,8042.59,6799.35,19618.0,1439.2,1839.66
Petra Energy Corp Ltd,2015,PetroChemical,34732.02,1917.04,98422.64,70576.33,19026.52,17808.72,51191.12,3825.17,4039.7,2973.13,8705.56,6947.01,28696.56,720.92,503.93
Petra Energy Corp Ltd,2016,PetroChemical,40863.61,4179.36,103640.3,76206.28,23917.74,27644.2,46089.94,5184.34,4504.25,2399.22,9967.32,7167.28,25079.41,2817.58,3588.68
Petra Energy Corp Ltd,2017,PetroChemical,40270.15,3492.56,122041.06,71480.76,28110.84,23925.61,67342.18,2975.86,4346.15,4541.78,7143.81,4836.49,24198.94,2649.81,1330.72
Petra Energy Corp Ltd,2018,PetroChemical,41130.75,2066.52,121757.79,88365.64,24945.73,34990.59,51055.42,4293.86,4762.78,4573.5,9839.96,6623.78,36135.22,4940.97,4330.04
Petra Energy Corp Ltd,2019,PetroChemical,44135.72,4017.57,135700.08,83808.05,35499.84,27729.23,79974.21,3223.36,5605.7,5200.31,9605.27,7758.14,40809.95,632.16,853.33
