company,year,sector,roa,asset_turnover,working_capital,working_cap_turnover,net_debt_to_ebitda,interest_coverage,fcf,ebitda_margin,esg_capex_pct,green_assets_pct,scope1_2_emissions,esg_score,carbon_intensity_per_revenue,esg_capex_per_revenue
Anvil Concrete Ltd,1989,Cement & Construction Materials,0.026605,0.366987,304.86,3.0506,3.1684,3.8711,68.78,0.282344,0.188672,0.051078,78214.73,41.57,84.1019,0.022172
Anvil Concrete Ltd,1990,Cement & Construction Materials,0.038864,0.362015,80.62,12.0336,3.0747,2.4972,68.04,0.253054,0.530664,0.044081,103063.53,46.87,106.2346,0.068855
Anvil Concrete Ltd,1991,Cement & Construction Materials,0.010095,0.322948,229.05,4.0432,4.0128,2.696,75.27,0.231811,0.776452,0.098039,101431.27,45.51,109.5252,0.064658
Anvil Concrete Ltd,1992,Cement & Construction Materials,0.031887,0.34368,46.69,22.4817,3.6923,1.8861,57.67,0.21361,0.466856,0.085344,109054.17,45.91,103.8938,0.062801
Anvil Concrete Ltd,1993,Cement & Construction Materials,0.022108,0.346274,161.28,6.939,4.4207,2.3872,110.17,0.228197,0.47019,0.050983,112604.61,47.49,100.6189,0.045947
Anvil Concrete Ltd,1994,Cement & Construction Materials,0.031758,0.324713,-174.49,-6.1768,3.1011,2.2072,148.43,0.281567,0.277385,0.070679,114281.26,52.3,106.033,0.03059
Anvil Concrete Ltd,1995,Cement & Construction Materials,0.024662,0.333901,471.72,2.6428,2.932,2.0589,82.75,0.210206,0.858641,0.105863,110039.63,52.93,88.2661,0.07289
Anvil Concrete Ltd,1996,Cement & Construction Materials,0.030144,0.314742,681.97,1.8532,7.0934,0.8921,-86.87,0.097228,0.702742,0.092909,113388.75,54.5,89.7184,0.096334
Anvil Concrete Ltd,1997,Cement & Construction Materials,0.04036,0.335811,213.91,6.665,4.6824,2.096,154.87,0.248543,1.169998,0.106299,116752.82,53.32,81.891,0.095244
Anvil Concrete Ltd,1998,Cement & Construction Materials,0.043044,0.371416,-65.13,-23.1996,4.1901,1.2071,83.98,0.152072,0.790606,0.04694,128402.9,54.09,84.9793,0.054249
Anvil Concrete Ltd,1999,Cement & Construction Materials,0.027948,0.366193,212.73,7.6166,3.2882,1.6294,141.31,0.20441,0.959113,0.048897,142431.28,58.68,87.9059,0.09367
Anvil Concrete Ltd,2000,Cement & Construction Materials,0.029556,0.340888,431.89,3.776,3.5444,3.1145,64.37,0.231692,1.068997,0.080016,148434.34,56.6,91.0177,0.128824
Anvil Concrete Ltd,2001,Cement & Construction Materials,0.027077,0.368452,-32.91,-54.8098,5.9004,1.6116,2.58,0.168922,1.267003,0.069029,169754.72,62.67,94.11,0.170103
Anvil Concrete Ltd,2002,Cement & Construction Materials,0.034286,0.344766,490.97,3.6924,3.1081,2.2153,181.18,0.247799,0.86106,0.138356,181597.93,59.93,100.1732,0.108609
Anvil Concrete Ltd,2003,Cement & Construction Materials,0.025799,0.338378,289.18,6.5067,1.8995,5.5555,177.32,0.319999,0.421176,0.085972,144316.02,64.03,76.6986,0.052578
Anvil Concrete Ltd,2004,Cement & Construction Materials,0.030023,0.356776,29.03,74.1209,3.0804,2.6952,182.3,0.217374,1.576379,0.090447,181505.19,63.88,84.3531,0.159606
Anvil Concrete Ltd,2005,Cement & Construction Materials,0.029488,0.326864,1129.17,1.9232,3.5962,2.4128,139.96,0.257559,0.946069,0.036621,145910.07,68.55,67.1895,0.106547
Anvil Concrete Ltd,2006,Cement & Construction Materials,0.028534,0.378818,616.29,3.8926,4.3713,2.8853,106.76,0.195696,0.777445,0.155059,196432.36,68.76,81.882,0.102907
Anvil Concrete Ltd,2007,Cement & Construction Materials,0.006496,0.324078,707.71,3.1969,2.5731,3.9743,291.36,0.275788,1.16836,0.119619,194494.85,67.68,85.9661,0.150482
Anvil Concrete Ltd,2008,Cement & Construction Materials,0.037982,0.374702,558.67,5.1988,4.6854,2.4029,316.07,0.202951,1.394647,0.077384,181665.76,68.82,62.5485,0.084503
Anvil Concrete Ltd,2009,Cement & Construction Materials,0.023783,0.333205,562.11,4.8756,2.9049,2.9086,84.01,0.216982,0.84064,0.063743,204730.49,70.68,74.7017,0.095989
Anvil Concrete Ltd,2010,Cement & Construction Materials,0.02296,0.336548,346.5,8.358,5.6313,1.4407,196.54,0.198989,1.948522,0.159734,215185.02,71.54,74.3032,0.222193
Anvil Concrete Ltd,2011,Cement & Construction Materials,0.032088,0.3452,513.7,6.1285,4.1519,1.8558,357.76,0.218536,2.129001,0.138508,188346.05,72.07,59.8262,0.175143
Anvil Concrete Ltd,2012,Cement & Construction Materials,0.045834,0.380613,388.87,8.7113,4.094,2.3937,280.13,0.254178,0.698502,0.129684,243859.45,73.62,71.9863,0.093571
Anvil Concrete Ltd,2013,Cement & Construction Materials,0.032138,0.382909,126.66,29.0306,3.3352,2.3306,229.11,0.197759,2.539678,0.047022,221830.6,80.1,60.3291,0.220206
Anvil Concrete Ltd,2014,Cement & Construction Materials,0.025504,0.348432,254.35,13.8591,4.0299,2.6566,355.96,0.255334,1.984878,0.137993,251448.54,77.8,71.3315,0.226018
Anvil Concrete Ltd,2015,Cement & Construction Materials,0.040419,0.373469,-831.59,-5.0831,4.3438,2.1188,395.02,0.248491,0.83711,0.145613,304001.58,81.47,71.9185,0.078211
Anvil Concrete Ltd,2016,Cement & Construction Materials,0.01979,0.360946,151.96,26.8678,6.6062,1.5508,-55.85,0.144645,1.018895,0.127853,251596.57,83.66,61.6231,0.12666
Anvil Concrete Ltd,2017,Cement & Construction Materials,0.043951,0.387772,1540.06,3.0029,4.8649,1.9684,286.63,0.172549,2.497182,0.123613,237388.0,83.26,51.3304,0.189722
Anvil Concrete Ltd,2018,Cement & Construction Materials,0.031498,0.36462,55.29,82.9893,4.293,2.1735,521.27,0.196041,1.168023,0.079861,276006.23,82.94,60.152,0.081007
Anvil Concrete Ltd,2019,Cement & Construction Materials,0.027721,0.3515,1547.21,3.1507,3.4432,2.5855,454.5,0.25635,0.595024,0.087416,252319.78,86.46,51.7607,0.080952
Anvil Concrete Ltd,2020,Cement & Construction Materials,0.017445,0.347866,-446.35,-11.855,4.4802,1.496,333.11,0.208192,1.111021,0.137228,283270.73,84.93,53.5332,0.147779
Anvil Concrete Ltd,2021,Cement & Construction Materials,0.032903,0.373252,-663.81,-8.9169,3.4497,1.9703,499.32,0.210849,1.787746,0.104932,286915.62,88.23,48.4728,0.135167
Anvil Concrete Ltd,2022,Cement & Construction Materials,0.02137,0.330684,1032.72,5.3935,3.7436,2.9201,517.33,0.200673,3.007594,0.069417,290061.25,91.87,52.0759,0.222547
Anvil Concrete Ltd,2023,Cement & Construction Materials,0.040292,0.358903,1150.66,5.2749,4.3602,2.951,196.77,0.185674,1.671862,0.104927,270542.79,89.17,44.5737,0.186808
Anvil Concrete Ltd,2024,Cement & Construction Materials,0.026893,0.392382,-1075.86,-6.3294,2.4752,4.0558,752.71,0.255168,2.553593,0.108708,358310.14,92.8,52.6188,0.160482
Apex Cloud Ltd,1989,Information Technology,0.032529,0.319959,79.68,21.0684,4.2266,2.0602,171.02,0.218391,0.750753,0.015835,3472.3,59.66,2.0684,0.056394
Apex Cloud Ltd,1990,Information Technology,0.023494,0.248981,690.61,2.3319,5.3797,2.4379,161.51,0.25202,0.829483,0.026629,4378.28,62.34,2.7187,0.091404
Apex Cloud Ltd,1991,Information Technology,0.030302,0.281981,480.24,4.2888,3.3925,1.8344,229.67,0.239546,0.449838,0.058885,4438.43,67.73,2.1549,0.033613
